,,,
,TIPE,Tema,Deskripsi
,GS-000,Classic Vintage Floral,Latar krem dengan ornamen bunga klasik dan dedaunan biru kecokelatan. Tampil sangat membumi dan tradisional.
,GS-001,Minimalist Anthurium,"Bersih dan modern dengan dominasi ruang kosong (white space), daun tropis gelap, dan bunga anthurium/calla lily putih."
,GS-002,Floral Marble Gold,Latar bertekstur marmer dengan aksen bunga krisan/peony warna pink dan garis tepi daun berwarna emas yang memberikan kesan mewah.
,GS-003,Grey Feather Minimalist,"Latar abu-abu redup dipadukan dengan ilustrasi bulu, rumput kering, dan dedaunan halus. Sangat rapi dan elegan."
,GS-004,Blush Geometric Boho,Kombinasi bentuk geometris (hexagonal) bernuansa rose gold dengan rumput pampas di atas latar pink pucat.
,GS-005,Dark Rustic Wood,"Latar belakang penuh tekstur serat kayu, dihiasi bunga bernuansa gelap dan burung kecil. Sangat kuat nuansa rustic-nya."
,GS-006,Blue Tropical Monstera,"Nuansa biru pastel dengan cipratan cat air, daun palem/monstera tropis, dan sentuhan siluet dedaunan warna emas."
,GS-007,Hummingbird Brush Stroke,"Estetik dan artistik dengan sapuan kuas (brush stroke) cokelat tebal, bunga mawar peach, dan ilustrasi burung kolibri terbang."
,GS-008,Brown Brush Strokes,"Aksen sapuan kuas tebal berwarna cokelat dengan elemen dedaunan kering, memberikan kesan artsy dan rustic."
,GS-009,Indigo Peacock,"Sangat mencolok dengan ilustrasi burung merak utuh yang detail, latar cat air biru indigo pekat, dan ornamen kipas lipat bergaya oriental."
,GS-010,Green Geometric Envelope,"Desain model amplop vertikal dengan sapuan cat air hijau pekat, dedaunan botani tropis, dan bingkai geometris emas."
,GS-011,Blue Pampas & Bird,"Latar biru muda pastel yang dihiasi rumput pampas, dedaunan kering, dan ilustrasi burung kecil. Elegan dan natural."
,GS-012,Geometric Blue Pampas,Kombinasi kontras modern dari garis geometris tajam berwarna emas dengan rumput pampas liar dan sapuan cat air biru.
,GS-013,Royal Blue Floral,Desain lipat diagonal dengan penutup wax seal tiruan. Didominasi ilustrasi bunga biru tua yang mewah dan aksen gold foil.
,GS-014,Boho Rustic Leaves,Elemen daun palem kering dan ilalang dengan palet warna earthy. Visual yang sangat mentah dan menyatu dengan alam.
,GS-015,Emerald Gold Wash,"Orientasi horizontal dengan blok warna hijau zamrud (emerald) cat air yang pekat, dipadu taburan debu emas (gold dust)."
,GS-016,Peach Rustic Wood,Potongan tepi bergelombang (die-cut). Latar warna peach/terracotta dengan elemen rumput pampas dan ilustrasi irisan batang kayu. Sangat boho-chic.
,GS-017,Diamond Cutout Minimalist,Fitur unik berupa lubang berbentuk belah ketupat di sampul depan untuk menampilkan inisial. Visual botanical redup yang minimalis.
,GS-018,Tropical Greenery Arch,Daun monstera dan tanaman tropis berpadu dengan lingkaran geometris emas. Menghasilkan nuansa tropis yang segar dan bersih.
,GS-019,Boho Feather Wreath,Potongan sampul melengkung asimetris. Menggunakan bingkai melingkar dari ranting dan bulu burung bergaya bohemian.
,GS-020,Mustard Tropical Arch,"Desain modern dengan ruang blok melengkung (arch) berwarna kuning mustard solid, dihiasi ilustrasi daun tropis kering."
,GS-021,Delicate Botanical,"Minimalis dan bersih. Fokus pada white space dengan sketsa ranting tipis, bunga kecil, dan siluet burung. Terkesan ringan."
,GS-022,Pampas & Birds,Latar belakang pastel dengan kombinasi rumput pampas kering dan ilustrasi burung kecil yang mendetail.
,GS-023,Gold Brush Monochrome,Kontras tegas antara elemen bunga bernuansa monokromatik (abu-abu) dengan sapuan kuas tebal (brush stroke) berwarna emas mentereng.
,GS-024,Exotic Parrot Floral,Menggabungkan ilustrasi bunga bergaya sketsa hitam-putih dengan burung nuri biru di atas latar cat air keabuan. Eksotis dan tidak biasa.
,GS-025,Mint Wax Seal,Desain layout menyerupai amplop terbuka dengan aksen stempel lilin (wax seal) merah dan ornamen bunga kering.
,GS-026,Peacock Elegance,"Sangat spesifik dengan ilustrasi bulu burung merak yang mencolok, dipadukan bingkai geometris emas dan latar hijau cat air."
,GS-027,Earthy Bohemian,"Kental dengan nuansa boho. Menampilkan ornamen bulu, bunga kapas, dedaunan kering, dan aksen irisan batang kayu (wood slice)."
,GS-028,Minimalist Foliage,Desain bersih dengan fokus pada siluet dedaunan perak yang elegan di sudut frame.
,GS-029,Classic Bronze Floral,Ornamen bunga klasik dengan bingkai geometris berwarna tembaga yang memberikan kesan mewah.
,GS-030,Soft Watercolor Pink,Ilustrasi bunga cat air berwarna merah muda lembut dengan font script yang romantis.
,GS-031,Golden Botanical,"Perpaduan garis emas (gold line art) dedaunan dengan latar belakang bersih, sangat modern."
,GS-032,Vintage Rose,Menggunakan ilustrasi mawar mekar penuh yang memberikan kesan klasik dan abadi.
,GS-033,Tropical Greenery,"Fokus pada daun monstera dan palem hijau tua, cocok untuk konsep outdoor atau summer."
,GS-034,Daisy Bouquet,Bentuk unik (die-cut) menyerupai buket bunga Daisy kuning. Sangat ceria dan tidak konvensional.
,GS-035,Dusty Blue Elegance,Aksen cat air biru redup dengan bingkai bunga melingkar (wreath) yang elegan.
,GS-036,Peach Blossom,"Ilustrasi bunga persik yang tersebar merata di sisi tepi, memberikan kesan penuh dan ramai."
,GS-037,Rustic Earthy Tone,"Elemen bunga kering dengan latar belakang warna bumi (terracotta/cokelat), sangat estetik."
,GS-038,Oriental Zen,"Mengadopsi gaya Jepang dengan ilustrasi gunung, matahari, dan bunga Sakura/Peony."
